,subject,session,runs,samples,trs
0,201,ses-01,1,1860000,248
1,201,ses-01,2,3727501,497
2,201,ses-01,3,3727500,497
3,201,ses-01,4,3720000,496
4,201,ses-01,5,3720000,496
5,201,ses-02,1,1860000,248
6,201,ses-02,2,1860000,248
7,201,ses-02,3,3727500,497
8,201,ses-02,4,3727500,497
9,201,ses-02,5,3720000,496
10,201,ses-02,6,3720000,496
11,102,ses-01,1,3727500,497
12,102,ses-01,2,3720000,496
13,102,ses-01,3,3720000,496
14,102,ses-01,4,3727500,497
15,102,ses-01,5,1860000,248
16,102,ses-01,6,1860001,248
17,102,ses-02,1,3727500,497
18,102,ses-02,2,3720000,496
19,102,ses-02,3,3720000,496
20,102,ses-02,4,3727500,497
21,102,ses-02,5,1860000,248
22,102,ses-02,6,1860000,248
23,202,ses-01,1,3277500,437
24,202,ses-01,2,3720000,496
25,202,ses-01,3,3720000,496
26,202,ses-01,4,3727500,497
27,202,ses-01,5,1860000,248
28,202,ses-01,6,1860000,248
29,202,ses-02,1,3727500,497
30,202,ses-02,2,3720000,496
31,202,ses-02,3,3720001,496
32,202,ses-02,4,3727500,497
33,202,ses-02,5,1859999,247
34,202,ses-02,6,1860000,248
35,103,ses-01,1,3727500,497
36,103,ses-01,2,3719999,495
37,103,ses-01,3,67501,9
38,103,ses-01,4,2835000,378
39,103,ses-01,5,3727500,497
40,103,ses-01,6,1860000,248
41,103,ses-01,7,1860001,248
42,103,ses-02,1,3727500,497
43,103,ses-02,2,3720000,496
44,103,ses-02,3,3719999,495
45,103,ses-02,4,3727500,497
46,103,ses-02,5,1860000,248
47,103,ses-02,6,1860000,248
48,203,ses-01,1,3727500,497
49,203,ses-01,2,3720000,496
50,203,ses-01,3,3720000,496
51,203,ses-01,4,3727500,497
52,203,ses-01,5,1860000,248
53,203,ses-01,6,1860000,248
54,203,ses-02,1,3727500,497
55,203,ses-02,2,3720000,496
56,203,ses-02,3,3720000,496
57,203,ses-02,4,3727500,497
58,203,ses-02,5,1860000,248
59,203,ses-02,6,1860000,248
60,104,ses-01,1,3727500,497
61,104,ses-01,2,3720000,496
62,104,ses-01,3,3720000,496
63,104,ses-01,4,3727500,497
