	subject	subject_yoked	letter	colorcode	r	g	b
0	102.0	202.0	c	1.0	181.0	44.0	67.0
1	102.0	202.0	b	8.0	49.0	60.0	163.0
2	102.0	202.0	e	9.0	248.0	154.0	28.0
3	102.0	202.0	d	11.0	109.0	57.0	142.0
4	102.0	202.0	g	10.0	183.0	61.0	160.0
5	102.0	202.0	o	2.0	255.0	211.0	0.0
6	102.0	202.0	n	7.0	58.0	175.0	75.0
7	102.0	202.0	q	3.0	0.0	163.0	228.0
8	102.0	202.0	p	13.0	237.0	114.0	162.0
9	102.0	202.0	r	6.0	239.0	79.0	41.0
10	102.0	202.0	w	5.0	16.0	114.0	86.0
11	102.0	202.0	y	12.0	9.0	181.0	172.0
12	102.0	202.0	x	4.0	161.0	199.0	70.0
